3,"[800.3        794.7        787.2        777.9        767.26666667
 756.53333333 744.6        731.93333333 718.96666667 706.8
 694.8        683.33333333 671.83333333 659.7        648.53333333
 637.26666667 625.86666667 615.53333333 603.86666667 593.
 583.53333333 573.2        563.33333333 555.1        546.6
 538.23333333 529.83333333 521.56666667 513.63333333 504.66666667
 497.36666667 488.5        481.43333333 473.96666667 466.03333333
 458.96666667 451.8        444.16666667 436.4        430.9
 424.53333333 417.63333333 412.23333333 406.6        401.56666667
 396.13333333 390.23333333 385.         379.66666667 375.26666667
 369.5        365.93333333 362.33333333 357.96666667 355.26666667
 351.8        346.86666667 343.4        340.03333333 336.36666667
 332.73333333 329.86666667 327.4        324.66666667 321.6
 318.76666667 315.63333333 313.9        312.06666667 310.03333333
 306.93333333 305.36666667 302.36666667 300.1        299.16666667
 297.56666667 295.73333333 294.66666667 293.8        291.9
 290.76666667 290.9        289.86666667 288.56666667 288.3
 287.43333333 286.86666667 286.16666667 285.56666667 284.76666667
 283.53333333 282.46666667 282.53333333 282.1        282.16666667
 281.43333333 282.4        282.3        282.03333333 282.2
 282.26666667 282.1        282.36666667 282.63333333 282.96666667
 282.3        282.16666667 281.96666667 282.16666667 282.33333333
 282.13333333 282.1        282.23333333 282.86666667 283.66666667
 284.3        284.66666667 284.86666667 285.9        286.3
 285.23333333 285.96666667 286.5        288.         288.53333333
 289.3        289.43333333 290.43333333 291.         292.06666667
 292.93333333 293.46666667 293.53333333 294.1        294.46666667
 296.         297.43333333 298.66666667 300.33333333 301.3
 303.1        304.23333333 304.63333333 306.23333333 307.13333333
 308.23333333 309.4        310.73333333 312.1        313.43333333
 314.6        315.6        316.76666667 318.66666667 319.9
 321.23333333 322.8        324.26666667 326.1        327.83333333
 329.3        330.36666667 332.33333333 333.73333333 334.8
 337.3        339.5        340.53333333 342.06666667 343.1
 344.03333333 345.36666667 347.93333333 349.26666667 350.86666667
 352.96666667 354.9        356.26666667 358.         359.4
 360.83333333 362.03333333 363.03333333 364.2        365.73333333
 367.7        369.9        371.4        372.76666667 375.03333333
 377.03333333 378.9        380.33333333 381.4        383.7
 385.8        387.26666667 389.96666667 391.8        393.33333333
 395.7        397.7        400.43333333 402.4        404.4
 406.7        408.93333333 410.6        413.06666667 414.66666667
 417.6        419.76666667 420.7        423.46666667 425.86666667
 428.43333333 430.33333333 432.43333333 434.73333333 436.06666667
 438.73333333 441.26666667 443.3        445.6        447.63333333
 449.7        451.9        454.4        457.23333333 458.6
 460.56666667 463.46666667 465.73333333 468.2        471.4
 474.16666667 476.56666667 479.         481.7        483.93333333
 485.7        488.1        489.6        491.86666667 494.
 496.76666667 498.46666667 500.5        502.83333333 505.
 507.3        509.56666667 511.56666667 514.23333333 516.5
 518.26666667 521.66666667 524.26666667 526.6        528.53333333
 530.13333333 532.5        533.86666667 536.13333333 539.2
 541.76666667 544.33333333 546.5        548.9        551.36666667
 553.56666667 555.4        558.16666667 561.4        563.36666667
 565.4        567.66666667 569.8        572.5        575.1
 578.         580.23333333 582.66666667 584.1        587.63333333
 589.56666667 591.9        594.36666667 597.7        600.53333333
 602.7        604.63333333 606.53333333 608.86666667 611.26666667
 614.73333333 617.53333333 619.66666667 621.73333333 624.46666667
 625.86666667 629.8        632.2        634.26666667 635.86666667
 637.6        640.16666667 641.43333333 644.         647.13333333
 649.73333333 653.36666667 656.63333333 659.36666667 661.66666667
 663.1        666.3        669.6        671.53333333 674.23333333
 676.23333333 679.33333333 681.83333333 684.23333333 687.86666667
 689.4        690.76666667 693.5        696.2        699.33333333
 701.46666667 704.66666667 706.83333333 709.7        711.66666667
 714.63333333 716.43333333 718.9        721.16666667 723.96666667
 725.9        729.43333333 732.06666667 734.23333333 736.9
 739.73333333 742.1        744.93333333 747.43333333 750.16666667
 753.         755.83333333 759.03333333 760.96666667 764.06666667
 766.63333333 768.5        771.16666667 773.63333333 775.63333333
 777.33333333 779.96666667 782.73333333 785.23333333 788.46666667
 790.73333333 792.33333333 794.7        797.56666667 800.56666667
 803.1        805.73333333 808.66666667 811.06666667 813.93333333
 816.33333333 818.86666667 821.03333333 822.9        825.83333333
 827.9        829.76666667 831.8        834.93333333 837.46666667
 841.16666667 844.1        847.63333333 850.6        852.8
 855.83333333 858.96666667 862.7        864.76666667 866.36666667
 869.2        871.23333333 873.13333333 875.3        877.5
 879.2       ]"
,
3.25,"[ 797.1         794.23333333  788.76666667  780.3         772.63333333
  764.26666667  754.93333333  745.8         735.66666667  726.13333333
  716.5         706.33333333  696.13333333  686.76666667  676.46666667
  665.63333333  656.33333333  647.63333333  638.5         628.46666667
  620.23333333  611.23333333  603.73333333  594.26666667  586.1
  578.06666667  570.16666667  562.96666667  555.6         548.2
  540.76666667  533.5         527.26666667  520.06666667  513.03333333
  505.5         499.93333333  494.03333333  489.4         484.66666667
  478.93333333  473.43333333  467.4         463.33333333  458.2
  454.86666667  450.16666667  446.46666667  442.13333333  438.33333333
  434.26666667  431.7         428.8         424.93333333  421.9
  418.36666667  414.93333333  412.03333333  409.56666667  406.46666667
  403.56666667  400.96666667  398.03333333  396.33333333  393.93333333
  391.66666667  389.03333333  386.93333333  384.9         382.76666667
  381.53333333  380.66666667  379.96666667  379.2         378.7
  378.06666667  377.4         376.33333333  375.73333333  374.3
  374.13333333  374.16666667  373.86666667  372.73333333  372.4
  371.53333333  371.03333333  371.66666667  371.96666667  371.8
  371.5         371.56666667  371.26666667  371.66666667  372.2
  373.03333333  373.2         373.43333333  373.26666667  374.33333333
  375.56666667  376.43333333  377.23333333  377.86666667  377.86666667
  379.          380.33333333  380.03333333  381.1         382.23333333
  383.83333333  385.23333333  386.3         387.5         388.06666667
  388.56666667  389.16666667  390.36666667  391.16666667  393.53333333
  394.3         396.33333333  397.73333333  399.33333333  401.3
  402.8         404.5         405.63333333  407.43333333  409.26666667
  409.8         411.13333333  412.9         414.53333333  415.96666667
  417.63333333  419.53333333  421.53333333  423.          424.73333333
  426.53333333  427.13333333  428.9         429.3         431.93333333
  434.83333333  437.16666667  438.1         440.13333333  441.3
  442.83333333  445.          447.03333333  449.43333333  451.93333333
  454.56666667  456.1         457.66666667  459.36666667  461.26666667
  463.4         465.36666667  466.73333333  468.93333333  470.3
  472.66666667  475.56666667  478.63333333  480.5         482.93333333
  484.93333333  488.          490.93333333  492.96666667  495.03333333
  497.23333333  499.86666667  501.6         505.1         507.23333333
  511.16666667  514.5         517.26666667  519.56666667  521.73333333
  523.73333333  526.93333333  529.33333333  530.86666667  533.16666667
  535.76666667  538.36666667  540.56666667  543.33333333  546.8
  551.03333333  553.76666667  556.5         558.7         560.83333333
  563.2         566.43333333  569.3         571.76666667  575.
  577.63333333  580.43333333  583.76666667  586.86666667  590.43333333
  592.76666667  594.66666667  597.23333333  600.23333333  603.06666667
  605.43333333  607.4         610.3         613.3         615.1
  617.06666667  619.43333333  622.4         625.1         627.46666667
  631.1         633.43333333  636.8         639.73333333  642.13333333
  646.2         649.23333333  651.03333333  654.4         657.56666667
  661.03333333  664.36666667  667.26666667  669.3         671.16666667
  674.13333333  677.16666667  679.86666667  683.06666667  686.2
  689.43333333  692.4         695.06666667  697.53333333  700.43333333
  704.2         706.83333333  710.23333333  712.6         715.83333333
  718.53333333  721.06666667  723.56666667  726.33333333  728.73333333
  732.5         735.23333333  738.46666667  741.06666667  743.83333333
  746.26666667  749.36666667  752.13333333  756.36666667  759.53333333
  762.5         765.96666667  768.3         771.06666667  774.93333333
  777.73333333  779.9         782.16666667  784.83333333  787.3
  790.36666667  793.66666667  796.1         798.73333333  800.46666667
  802.86666667  805.3         809.          812.06666667  814.4
  817.66666667  820.96666667  824.03333333  827.26666667  829.26666667
  832.13333333  834.56666667  838.4         840.26666667  841.93333333
  844.23333333  847.46666667  851.93333333  855.3         858.4
  861.33333333  864.56666667  867.43333333  869.63333333  872.33333333
  876.23333333  878.56666667  881.2         883.53333333  886.83333333
  890.4         892.53333333  894.86666667  898.53333333  902.16666667
  905.43333333  908.33333333  910.73333333  913.53333333  915.5
  918.          920.46666667  923.9         926.43333333  929.16666667
  932.16666667  935.16666667  939.3         941.9         945.63333333
  947.7         950.96666667  954.36666667  957.6         960.5
  963.56666667  966.06666667  969.1         972.43333333  975.33333333
  978.          980.4         982.73333333  984.86666667  987.53333333
  990.66666667  992.96666667  996.23333333  999.33333333 1002.43333333
 1005.16666667 1008.36666667 1011.26666667 1014.13333333 1016.43333333
 1018.5        1021.13333333 1022.9        1025.83333333 1028.8
 1031.26666667 1033.5        1035.63333333 1038.03333333 1041.1
 1044.36666667 1046.9        1049.         1051.5        1053.6
 1055.8        1058.03333333 1061.26666667 1063.2        1065.76666667
 1068.9        1071.33333333 1074.16666667 1076.8        1079.4
 1081.83333333 1084.53333333 1087.7        1090.76666667 1093.16666667
 1095.6        1097.86666667 1100.26666667 1103.76666667 1106.36666667
 1108.96666667 1112.3        1114.33333333 1116.86666667 1119.43333333
 1121.83333333]"
,
3.5,"[ 794.03333333  791.5         787.36666667  782.86666667  776.53333333
  770.46666667  762.16666667  754.13333333  747.03333333  740.13333333
  731.36666667  722.6         714.73333333  707.3         699.33333333
  690.23333333  682.86666667  676.1         670.33333333  662.66666667
  657.3         650.8         644.03333333  638.03333333  631.16666667
  624.          618.8         612.73333333  606.4         600.6
  596.16666667  589.93333333  584.63333333  580.          574.5
  571.26666667  567.03333333  562.23333333  558.          553.23333333
  548.23333333  544.9         541.26666667  539.76666667  537.13333333
  533.23333333  530.73333333  529.16666667  525.96666667  523.1
  521.2         519.93333333  518.1         517.4         514.6
  514.6         512.16666667  510.5         509.13333333  507.46666667
  506.4         504.96666667  502.73333333  501.66666667  502.13333333
  500.56666667  500.66666667  500.26666667  499.7         499.1
  498.2         498.8         498.1         497.6         497.3
  497.          497.73333333  497.9         498.33333333  497.7
  498.73333333  499.7         499.3         500.4         500.23333333
  500.5         501.6         503.23333333  503.66666667  504.76666667
  505.6         507.56666667  509.73333333  510.13333333  510.73333333
  512.1         513.13333333  514.96666667  517.06666667  519.36666667
  520.76666667  522.46666667  524.4         527.06666667  527.96666667
  530.7         532.1         533.9         536.83333333  538.63333333
  541.33333333  541.93333333  542.76666667  544.46666667  546.13333333
  547.43333333  549.53333333  552.13333333  554.73333333  557.56666667
  559.3         561.96666667  565.1         566.66666667  568.63333333
  570.73333333  573.03333333  575.06666667  577.66666667  580.6
  582.8         584.8         586.83333333  589.96666667  592.86666667
  595.5         598.33333333  600.8         604.13333333  606.8
  608.9         612.06666667  614.2         615.6         618.46666667
  622.16666667  624.66666667  627.4         630.5         633.7
  636.53333333  639.33333333  643.03333333  645.46666667  648.6
  651.46666667  654.93333333  658.6         661.13333333  664.23333333
  666.5         668.56666667  673.36666667  675.63333333  678.73333333
  682.03333333  684.7         688.6         692.16666667  695.13333333
  697.9         701.66666667  704.8         707.83333333  710.36666667
  713.96666667  716.83333333  719.13333333  721.8         724.7
  727.76666667  730.7         734.13333333  737.23333333  740.76666667
  743.4         746.7         750.4         753.53333333  757.63333333
  759.93333333  763.83333333  767.63333333  770.93333333  774.7
  777.23333333  780.56666667  783.46666667  787.56666667  790.63333333
  795.43333333  798.56666667  802.86666667  806.1         810.03333333
  813.66666667  816.66666667  819.1         821.6         825.43333333
  828.6         831.06666667  835.33333333  839.1         842.23333333
  845.3         849.          851.46666667  854.33333333  856.56666667
  859.56666667  862.53333333  865.16666667  868.36666667  872.16666667
  875.          878.6         882.06666667  886.03333333  890.06666667
  893.5         896.16666667  897.56666667  900.33333333  904.6
  908.23333333  912.3         915.6         918.56666667  921.43333333
  924.5         926.96666667  930.3         932.56666667  936.23333333
  939.8         944.23333333  947.16666667  949.86666667  952.53333333
  955.46666667  958.56666667  961.83333333  965.63333333  969.53333333
  972.73333333  975.56666667  977.86666667  981.36666667  985.86666667
  989.33333333  992.06666667  995.46666667  997.76666667 1001.03333333
 1003.5        1007.73333333 1010.4        1013.56666667 1016.83333333
 1020.7        1023.2        1025.3        1028.16666667 1031.23333333
 1034.1        1037.9        1041.13333333 1043.6        1046.76666667
 1049.9        1053.16666667 1057.1        1060.         1061.5
 1063.33333333 1065.4        1068.8        1071.56666667 1074.53333333
 1078.16666667 1080.66666667 1083.16666667 1085.6        1088.1
 1090.73333333 1093.46666667 1095.73333333 1098.96666667 1101.36666667
 1105.36666667 1108.13333333 1111.6        1114.86666667 1117.3
 1120.1        1122.53333333 1126.16666667 1128.8        1131.3
 1133.6        1135.63333333 1138.93333333 1141.46666667 1144.7
 1147.33333333 1149.56666667 1153.5        1156.43333333 1159.2
 1161.96666667 1164.63333333 1166.83333333 1168.36666667 1171.1
 1173.16666667 1175.63333333 1178.13333333 1180.53333333 1182.43333333
 1185.46666667 1188.1        1191.43333333 1193.86666667 1196.36666667
 1198.13333333 1201.63333333 1203.93333333 1206.06666667 1207.6
 1209.7        1211.76666667 1214.46666667 1216.86666667 1219.4
 1221.46666667 1224.9        1226.46666667 1228.53333333 1230.16666667
 1232.83333333 1234.73333333 1237.4        1239.16666667 1240.86666667
 1242.73333333 1245.33333333 1247.36666667 1249.13333333 1251.46666667
 1253.8        1255.23333333 1258.1        1259.63333333 1261.86666667
 1264.6        1265.93333333 1266.83333333 1268.36666667 1269.8
 1272.06666667 1275.2        1277.13333333 1279.83333333 1281.8
 1283.23333333 1285.1        1286.76666667 1288.7        1291.5
 1293.5        1295.46666667 1297.66666667 1298.83333333 1300.36666667
 1302.1        1304.46666667 1305.76666667 1307.46666667 1309.63333333
 1310.73333333 1313.33333333 1315.66666667 1316.83333333 1318.66666667
 1320.4        1322.9        1324.73333333 1326.86666667 1328.7
 1331.        ]"
,
3.75,"[ 801.          800.          797.7         794.8         790.9
  785.6         780.9         776.8         770.73333333  764.43333333
  759.26666667  753.7         749.2         744.13333333  739.13333333
  734.33333333  729.43333333  725.1         718.93333333  713.33333333
  707.3         702.73333333  697.7         692.36666667  688.4
  683.63333333  678.33333333  673.73333333  669.06666667  665.83333333
  661.83333333  658.7         654.          650.63333333  647.76666667
  645.83333333  643.          638.76666667  636.36666667  633.56666667
  630.6         629.43333333  628.          625.43333333  623.73333333
  622.13333333  620.8         620.4         618.36666667  617.
  615.76666667  613.3         612.4         610.86666667  611.03333333
  610.83333333  611.33333333  612.93333333  614.36666667  615.76666667
  616.13333333  617.03333333  617.          616.9         616.66666667
  616.73333333  617.23333333  617.43333333  616.          615.8
  616.13333333  615.86666667  617.          617.83333333  619.66666667
  620.03333333  620.93333333  621.66666667  622.46666667  623.
  623.43333333  625.26666667  625.76666667  627.26666667  629.1
  630.36666667  631.93333333  633.63333333  635.93333333  638.5
  640.1         640.36666667  643.4         645.5         646.66666667
  649.26666667  650.26666667  652.23333333  654.73333333  656.83333333
  658.2         660.26666667  662.2         662.96666667  664.96666667
  666.03333333  669.1         672.26666667  673.5         676.
  678.4         681.9         683.83333333  686.03333333  688.76666667
  690.46666667  694.1         697.23333333  700.03333333  702.73333333
  706.43333333  708.1         711.06666667  714.26666667  716.2
  717.33333333  721.16666667  723.6         726.5         729.56666667
  732.66666667  735.83333333  738.73333333  741.33333333  744.33333333
  748.33333333  751.9         755.63333333  758.          760.23333333
  762.66666667  766.93333333  770.2         773.76666667  777.33333333
  780.36666667  783.56666667  787.          789.6         792.8
  796.63333333  798.96666667  802.36666667  805.6         808.9
  811.46666667  814.73333333  816.56666667  819.6         822.6
  825.1         827.4         831.26666667  834.86666667  837.66666667
  840.73333333  842.93333333  846.23333333  849.33333333  853.73333333
  856.83333333  860.03333333  863.43333333  867.73333333  871.16666667
  873.6         876.6         881.5         885.53333333  889.1
  892.8         896.23333333  899.16666667  902.56666667  906.7
  910.2         913.86666667  917.          920.43333333  924.7
  927.46666667  930.8         934.2         937.9         940.83333333
  944.06666667  946.73333333  949.7         952.83333333  956.06666667
  959.26666667  963.43333333  966.6         968.8         971.9
  976.          980.36666667  983.26666667  986.16666667  989.8
  991.7         995.6         999.33333333 1003.16666667 1006.63333333
 1008.9        1012.13333333 1015.13333333 1018.36666667 1022.03333333
 1025.23333333 1028.86666667 1031.5        1034.06666667 1037.36666667
 1040.73333333 1044.03333333 1047.4        1050.96666667 1053.9
 1056.43333333 1059.16666667 1062.6        1065.6        1069.23333333
 1072.93333333 1075.76666667 1079.73333333 1083.23333333 1085.66666667
 1088.06666667 1090.8        1094.93333333 1098.53333333 1102.
 1105.3        1108.36666667 1111.46666667 1115.2        1118.36666667
 1122.         1125.26666667 1129.56666667 1132.3        1135.
 1138.46666667 1141.03333333 1143.96666667 1146.96666667 1148.26666667
 1151.53333333 1155.5        1158.2        1160.96666667 1164.76666667
 1167.5        1169.9        1173.53333333 1176.3        1179.4
 1182.33333333 1184.76666667 1187.66666667 1190.06666667 1192.73333333
 1195.36666667 1198.83333333 1200.06666667 1202.63333333 1205.3
 1208.06666667 1211.33333333 1214.36666667 1216.6        1219.76666667
 1222.5        1225.46666667 1227.03333333 1228.56666667 1230.9
 1233.7        1236.06666667 1238.73333333 1241.03333333 1242.3
 1244.86666667 1247.16666667 1249.6        1251.66666667 1253.6
 1256.06666667 1258.66666667 1261.06666667 1264.36666667 1266.53333333
 1268.4        1271.1        1272.93333333 1274.46666667 1277.
 1279.3        1281.3        1283.53333333 1285.         1287.86666667
 1289.76666667 1292.7        1295.23333333 1297.7        1300.53333333
 1302.76666667 1304.36666667 1307.53333333 1309.73333333 1312.5
 1314.73333333 1316.4        1319.06666667 1321.73333333 1324.03333333
 1325.83333333 1328.         1330.03333333 1331.7        1333.53333333
 1334.86666667 1336.63333333 1338.46666667 1340.33333333 1342.66666667
 1344.73333333 1346.96666667 1348.7        1351.06666667 1352.7
 1355.         1357.         1358.56666667 1360.06666667 1362.36666667
 1363.66666667 1365.56666667 1366.73333333 1367.76666667 1369.7
 1371.06666667 1372.3        1374.         1376.53333333 1378.83333333
 1380.43333333 1382.4        1383.73333333 1385.1        1386.8
 1389.26666667 1390.56666667 1391.96666667 1393.46666667 1394.4
 1396.5        1397.86666667 1399.06666667 1399.93333333 1401.33333333
 1402.96666667 1404.23333333 1405.83333333 1407.73333333 1409.43333333
 1410.43333333 1413.         1414.26666667 1415.73333333 1417.73333333
 1418.66666667 1420.1        1421.5        1422.6        1423.93333333
 1426.63333333 1428.3        1429.93333333 1431.5        1433.36666667
 1433.63333333 1434.96666667 1436.06666667 1437.6        1438.03333333
 1438.7       ]"
,
4,"[ 795.73333333  797.03333333  797.06666667  795.96666667  793.8
  790.73333333  789.3         787.63333333  785.4         783.46666667
  782.16666667  779.5         775.2         771.56666667  766.93333333
  763.4         761.16666667  757.9         755.5         752.8
  749.2         745.66666667  742.63333333  739.63333333  737.43333333
  734.53333333  731.83333333  730.13333333  726.43333333  725.16666667
  724.3         723.76666667  721.5         718.5         716.5
  713.83333333  712.53333333  712.          711.63333333  710.7
  712.          711.26666667  711.93333333  711.66666667  712.4
  712.63333333  711.6         711.76666667  712.36666667  712.1
  713.          713.          713.83333333  713.86666667  715.1
  716.13333333  717.          717.9         718.63333333  718.76666667
  719.33333333  721.13333333  723.13333333  723.86666667  725.63333333
  726.2         729.16666667  730.5         733.16666667  735.
  737.76666667  738.8         740.76666667  743.06666667  744.23333333
  747.6         749.3         751.8         754.4         757.33333333
  759.23333333  761.46666667  764.56666667  767.6         770.33333333
  774.16666667  775.63333333  777.93333333  780.76666667  783.33333333
  786.13333333  787.63333333  790.26666667  792.5         795.46666667
  797.9         802.1         804.83333333  807.63333333  811.73333333
  814.66666667  817.83333333  820.46666667  822.1         825.36666667
  827.56666667  830.93333333  834.63333333  837.96666667  841.03333333
  844.73333333  846.4         849.63333333  853.36666667  857.76666667
  860.83333333  864.33333333  866.7         870.46666667  874.13333333
  876.23333333  880.5         883.76666667  887.73333333  891.6
  895.66666667  900.26666667  902.36666667  906.13333333  910.13333333
  913.96666667  917.2         921.06666667  924.7         929.13333333
  933.36666667  936.6         940.56666667  944.76666667  947.93333333
  950.33333333  953.4         957.16666667  959.53333333  964.1
  966.96666667  970.63333333  973.56666667  976.8         981.13333333
  984.76666667  989.3         992.93333333  996.63333333  999.8
 1003.63333333 1007.23333333 1011.46666667 1015.2        1019.46666667
 1024.36666667 1026.5        1028.96666667 1032.6        1035.86666667
 1039.56666667 1043.13333333 1047.4        1052.13333333 1055.4
 1059.43333333 1063.56666667 1068.26666667 1071.46666667 1075.13333333
 1077.36666667 1081.33333333 1085.1        1088.73333333 1092.26666667
 1095.13333333 1097.7        1101.93333333 1105.2        1108.46666667
 1113.         1117.23333333 1120.26666667 1124.3        1128.
 1131.26666667 1134.         1137.3        1140.8        1144.46666667
 1147.33333333 1150.76666667 1154.73333333 1158.7        1161.36666667
 1165.1        1169.43333333 1172.73333333 1175.4        1179.06666667
 1181.9        1186.1        1189.26666667 1192.36666667 1195.13333333
 1197.56666667 1201.46666667 1203.76666667 1206.36666667 1209.06666667
